cod_Loja,data_compra,inicio,termino,Loja,cod_Produto,produto,EAN,Valor Unitário Sem Imposto,quantidade,valor_total,Impostos,Dinheiro de Volta (Aplicado direto no total),,,,,,,,,,
410,43651.437974537002,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.498819444401,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.588171296302,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.618125000001,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.670092592598,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,3,9993.869999999999,1128.8699999999999,135,,,,,,,,,,
410,43651.673333333303,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.684965277796,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.689699074101,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.694201388898,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,4,13325.16,1505.1600000000001,180,,,,,,,,,,
410,43651.707152777803,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.5799999999999,752.58000000000004,90,,,,,,,,,,
410,43651.735937500001,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.740335648101,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.747662037,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.7495486111,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.752094907402,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.752546296302,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,3,9993.869999999999,1128.8699999999999,135,,,,,,,,,,
410,43651.762777777803,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.776770833298,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.777094907397,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.5799999999999,752.58000000000004,90,,,,,,,,,,
410,43651.780289351896,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.5799999999999,752.58000000000004,90,,,,,,,,,,
410,43651.7878472222,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.796527777798,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.5799999999999,752.58000000000004,90,,,,,,,,,,
410,43651.796666666698,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.803842592599,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.5799999999999,752.58000000000004,90,,,,,,,,,,
410,43651.804895833302,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
410,43651.805115740703,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,2,6662.5799999999999,752.58000000000004,90,,,,,,,,,,
410,43651.809467592597,43651,43666,Unidade Manaus 1,49618556000135,Smart Pro,190199383180,3000,1,3331.29,376.29000000000002,45,,,,,,,,,,
